,Nº,REGIÃO,UF,ENTE,ANO,N.JUR,POP,TAM.ATV,AD.PROG,C.PROG,PRT_massa,MassaSeg.,GR_POD,GR_SEGR,GR_C.ÉT,CIE_REL,CIE_FISC,CIE_AUD,CIE_CRP,GI_DIV.CART,GI_C.TÉC,GI_P.INV,GI_COMITÊ,GI_CONS,SA_AMRTZ,SA_PUB.REL,SA_REPAS,SA_R.ALIQ,GTI_POL.INFR.,GTI_INV.TI,DDM_CART,DDM_ACES,DDM_ATAS,RP_REG.ENV,RP_REL.GOV,RP_SITE,PS_OUV,PS_GEST,IP_REP.CF,IP_SELEC,LI_CERT.MB,LI_DIR.CERT,LI_P.EST.,R.FIN,IND.SF,R.INV,VAR.INV,R.AT,IND.COB
63,64,SE,SP,Arandu,2001-11-27,Autarquia,6365,16810140.0,NÃO,,PEQUENO PORTE,mais favorável,1,0,0,0,REG,REG,IRG,REG,B,1,1,1,0,REG,REG,1,0,0,1,REG,1,A,0,1,1,0,B,ESC,C,1,0,2220278.210000001,1.9247492808622038,3767333.42,0.2888437696973041,-32653264.09,0.3398500428602427
64,65,SE,MG,Araponga,2011-05-13,Órgão Adm. Direta,8453,13966464.11,NÃO,,PEQUENO PORTE,menos favorável,1,0,0,0,REG,REG,REG,REG,B,1,1,0,1,REG,REG,1,0,0,1,REG,,B,,1,,1,C,ESC,C,1,0,3017185.0999999996,1.8731381529057198,1482259.780000001,0.11873081702436394,-11067330.819999997,0.55790439080664
65,66,S,PR,Arapongas,2005-08-03,Autarquia,124810,144058906.38,NÃO,,MÉDIO PORTE,menos favorável,1,1,0,0,REG,REG,REG,REG,B,1,1,1,0,REG,REG,0,0,0,1,REG,1,A,0,1,1,0,B,ESC,B,1,0,6099434.969999984,1.1646769441166853,31243930.45999999,0.276948429986422,-1365963054.87,0.09540186174560512
66,67,S,SC,Araquari,1993-05-28,Autarquia,39524,79091783.18,SIM,NÍVEL I,MÉDIO PORTE,mais favorável,1,1,0,1,REG,REG,REG,REG,B,1,1,0,1,REG,REG,1,0,0,1,REG,1,B,1,1,1,0,B,ESC,B,1,0,17369882.53,4.230349238895746,20345978.61000001,0.3463392621639265,-82778347.36999999,0.4886125865918752
67,68,SE,SP,Araras,2005-11-24,Autarquia,135506,238001513.7,SIM,NÃO,MÉDIO PORTE,mais favorável,1,1,1,1,,REG,REG,REG,B,1,1,1,0,REG,REG,0,0,0,1,REG,1,B,1,1,1,0,A,ESC,C,1,1,-5029872.840000004,0.9255101977960661,64777177.73000001,0.3739496380070899,-620058035.6317807,0.2773717906704088
68,69,SE,RJ,Araruama,2002-01-02,Autarquia,134293,0.0,SIM,NÃO,GRANDE PORTE,mais favorável,1,1,1,1,REG,REG,IRG,REG,C,1,0,0,1,IRG,REG,0,1,1,1,REG,1,A,0,1,1,0,B,ESC,,0,0,-6920771.0,0.7965863802019053,,,-863442930.45,0.0
69,70,S,RS,Aratiba,2005-09-21,Fund. Dir. Púbico,6189,55896539.46,SIM,NÍVEL I,PEQUENO PORTE,mais favorável,1,1,0,0,REG,REG,REG,REG,B,1,1,1,1,REG,REG,1,0,0,1,REG,1,A,1,1,1,0,A,EL,C,1,0,6836855.589999999,3.4677553414162174,6825999.939999998,0.13910586691670423,-19304839.54999999,0.7432914156077789
70,71,S,SC,Balneário Camboriú,1993-01-21,Autarquia,145796,546610424.26,SIM,NÍVEL I,MÉDIO PORTE,mais favorável,1,0,1,1,REG,REG,IRG,REG,B,1,1,1,1,REG,REG,0,1,1,1,REG,1,A,1,1,1,0,C,ESC,B,1,1,93660835.57999998,2.4332455145049834,111133040.49,0.25519819084036666,-469756387.22,0.5378082185348455
71,72,SE,SP,Barretos,2004-11-08,Autarquia,122833,,NÃO,,MÉDIO PORTE,menos favorável,1,1,0,1,REG,REG,IRG,REG,C,1,0,0,0,IRG,IRG,0,0,0,1,REG,1,C,0,1,1,0,B,ESC,,0,0,-5192771.840000004,0.9180973379097004,,,,
72,73,SE,SP,Barueri,2006-10-26,Autarquia,276982,2267222964.06,SIM,NÍVEL II,GRANDE PORTE,mais favorável,1,1,1,1,REG,REG,REG,REG,B,1,1,0,0,REG,REG,1,1,1,1,REG,1,A,1,1,1,0,B,EL,C,1,1,196211452.98000002,3.1065751213838437,464028616.6700001,0.25733699606015814,31638205.619999886,1.0141520939881865
73,74,SE,SP,Bauru,1960-12-30,Fund. Dir. Púbico,379297,601757165.88,SIM,NÍVEL I ,GRANDE PORTE,menos favorável,1,1,1,1,REG,REG,REG,REG,A,1,1,1,0,REG,REG,0,1,1,1,REG,1,A,0,1,1,0,B,EL,B,1,1,-78192880.68,0.6436669265728333,61508269.38,0.11385172608122107,-1964647844.8399997,0.23447474711373723
74,75,SE,SP,Bertioga,2002-09-14,Autarquia,64723,577056137.98,SIM,NÍVEL II,MÉDIO PORTE,mais favorável,1,1,1,1,REG,REG,REG,REG,B,1,1,1,1,REG,REG,1,1,1,1,REG,1,A,0,1,1,0,A,ESC,B,1,1,26728046.5,1.9100701570903353,123108491.61,0.2711953516984593,-230622901.23000002,0.714462193477777
75,76,SE,MG,Betim,1992-12-23,Autarquia,444784,1312192955.82,NÃO,,GRANDE PORTE,menos favorável,1,1,1,1,REG,REG,JUD,REG,B,0,1,0,1,IRG,REG,1,1,1,1,REG,1,A,1,1,1,1,B,ESC,C,1,1,85392669.54999998,1.466732651629364,122251244.71,0.10273717071062394,-2603812066.0999994,0.3350845947528019
76,77,SE,SP,Birigui,2006-11-13,Autarquia,124883,225713054.22,SIM,NÍVEL I,MÉDIO PORTE,menos favorável,1,1,1,1,REG,REG,REG,REG,A,1,1,1,0,REG,REG,1,1,1,1,REG,1,A,1,1,1,0,A,ESC,C,1,1,-20712332.979999993,0.6056483460849753,34300323.18000001,0.17919562086406993,-584935224.7599999,0.278435247533004
77,78,S,SC,Blumenau,2000-12-30,Autarquia,361855,508917406.63,SIM,NÍVEL II,GRANDE PORTE,menos favorável,1,1,0,0,REG,REG,REG,REG,B,1,1,1,0,REG,REG,1,0,0,1,REG,1,A,1,1,1,0,A,ESC,C,1,1,27434157.75999999,1.132192396230373,49904468.53999996,0.10872126774390622,-2932235731.37,0.14789153118764806
78,79,NE,AL,Boca da Mata,2009-10-14,,27356,,NÃO,,MÉDIO PORTE,mais favorável,1,1,0,0,IRG,REG,IRG,REG,C,1,0,0,0,IRG,REG,0,0,1,1,REG,1,C,0,1,1,0,,ESC,C,0,0,6400986.37,1.8542974727096286,,,,
79,80,SE,MG,Bocaiúva,2007-02-27,Autarquia,50256,24178470.75,NÃO,,MÉDIO PORTE,mais favorável,1,0,0,0,REG,REG,JUD,REG,C,0,1,1,0,JUD,REG,0,0,0,1,REG,0,C,0,1,1,0,B,ESC,C,1,0,604260.3899999997,1.0833774175080395,707919.5,0.030162031239040488,,
80,81,NE,MA,Bom Jardim,2010-12-09,Autarquia,41822,28398260.3,SIM,NÃO,MÉDIO PORTE,mais favorável,1,1,0,0,REG,JUD,JUD,REG,B,1,1,1,0,REG,JUD,0,0,1,1,REG,1,C,0,1,1,0,,ESC,C,1,0,,0.0,1247164.91,0.045934239193139215,-64389153.04000001,0.30605724718222865
81,82,SE,MG,Brasópolis,2015-11-30,Autarquia,14410,7808633.42,SIM,NÃO,PEQUENO PORTE,mais favorável,1,1,0,1,REG,REG,REG,REG,B,1,1,1,0,IRG,REG,1,0,1,1,REG,1,B,0,1,1,1,A,ESC,C,0,0,-427401.26,0.7837659185240782,2454425.34,0.4584105255767348,-38408256.23000001,0.16895627289362597
82,83,S,SC,Brusque,2011-09-20,Autarquia,137689,144111892.56,SIM,NÍVEL II,MÉDIO PORTE,mais favorável,1,0,1,1,REG,REG,REG,REG,C,1,0,0,0,REG,REG,1,0,0,1,REG,1,A,1,1,1,0,A,ESC,C,0,1,12913035.86,1.520568201456069,32139477.55,0.28703031498543363,-608519454.3,0.19147739881050535
83,84,NE,PB,Cabedelo,2008-08-22,Autarquia,68767,202381695.19,SIM,NÍVEL II,MÉDIO PORTE,mais favorável,1,0,1,1,REG,REG,REG,REG,B,1,1,1,1,REG,REG,1,0,0,1,REG,1,A,1,1,1,0,A,EL,A,1,1,30804204.910000004,2.7615381134050474,30895116.06,0.18016054793756853,-334575715.32,0.37690455747277735
84,85,NE,PE,Cabo de Santo Agostinho,2017-12-22,Autarquia,208944,316741014.27,SIM,NÍVEL I,MÉDIO PORTE,menos favorável,1,1,0,1,REG,REG,JUD,JUD,A,1,1,1,1,JUD,REG,1,1,1,1,REG,1,A,0,1,1,0,B,ESC,C,0,1,5713433.359999999,1.0595359031242142,81385344.10999998,0.3457972525355877,-2745846402.13,0.10342268520201837
85,86,S,SC,Caçador,2006-12-29,Autarquia,79313,122150061.57,SIM,NÍVEL II,MÉDIO PORTE,menos favorável,1,0,1,1,REG,REG,JUD,REG,C,1,0,0,0,JUD,REG,1,1,0,1,REG,1,C,1,1,1,0,C,ESC,B,0,1,6761190.77,1.3034196935148519,13505963.01000001,0.1243138208978849,-225309194.31,0.35155218778280656
86,87,CO,MT,Cáceres,2005-12-12,Autarquia,94861,116040145.84,SIM,NÍVEL I,MÉDIO PORTE,mais favorável,1,1,1,1,REG,REG,REG,REG,A,1,1,1,0,REG,REG,0,1,1,1,REG,1,B,1,1,1,0,A,ESC,C,0,1,1246159.6700000018,1.067087663364077,25616687.84999999,0.28329692780420945,-302014017.08000004,0.2775720376266311
87,88,SE,ES,Cachoeiro de Itapemirim,2005-07-01,Autarquia,210589,283531239.64,SIM,NÍVEL II,MÉDIO PORTE,mais favorável,1,1,1,1,REG,REG,REG,REG,B,1,1,,1,REG,REG,1,1,1,1,REG,1,A,1,1,1,0,B,ESC,C,1,1,50524091.96000001,2.4726161629425008,59444923.07999999,0.26527689861903436,-493526485.0200002,0.3648779629133195
88,89,SE,SP,Cajamar,2005-03-24,Autarquia,77934,299711221.35,SIM,NÃO,MÉDIO PORTE,mais favorável,1,1,0,0,REG,REG,REG,REG,B,1,1,1,1,REG,REG,0,0,1,1,REG,1,B,0,1,1,0,A,ESC,C,1,0,74491382.13000001,3.666610917788887,76447469.9,0.34240878514092543,-126079879.20999998,0.7038926387982749
89,90,NE,BA,Camaçari,2009-08-05,Autarquia,304302,366666150.72,SIM,NÍVEL II,GRANDE PORTE,menos favorável,1,0,1,1,REG,REG,JUD,REG,B,1,1,1,0,REG,REG,1,0,1,1,REG,1,A,1,1,0,1,C,ESC,A,0,1,62448519.54000001,1.5937395339130858,63282989.64000005,0.20859097589570164,-1380367999.3,0.20987921198667034
90,91,S,SC,Camboriú,2001-11-01,Autarquia,85105,85992600.44000001,SIM,NÃO,MÉDIO PORTE,mais favorável,1,1,1,1,REG,REG,IRG,REG,B,1,1,1,0,REG,REG,1,1,0,1,REG,1,A,1,1,1,0,,ESC,A,1,0,17225739.68,4.802285721235644,18470030.13000001,0.2735386115368985,-219349467.0,0.2816270982932859
91,92,SE,RJ,Cambuci,2006-12-22,Órgão Adm. Direta,15514,35784555.14,NÃO,,MÉDIO PORTE,menos favorável,1,1,0,0,REG,REG,JUD,REG,C,1,0,1,1,IRG,REG,0,0,0,1,REG,1,C,0,1,1,0,B,ESC,C,0,0,1454434.8000000007,1.1957160024751885,3388054.899999999,0.10458089222294342,-141500814.36,0.20184719833860854
92,93,S,PR,Campina Grande do Sul,2010-12-21,Autarquia,43685,91542429.18,SIM,NÃO,MÉDIO PORTE,mais favorável,1,1,0,0,REG,REG,REG,REG,B,1,1,0,0,REG,REG,0,0,1,1,REG,1,B,0,1,1,0,C,ESC,B,1,0,11291694.96,2.4454466404590502,14159274.16,0.1829761807507133,-91506011.38999999,0.5000994758269631
93,94,CO,MS,Campo Grande,1961-02-17,Autarquia,9670,9365025.0,SIM,NÃO,GRANDE PORTE,menos favorável,1,1,0,0,REG,REG,JUD,JUD,B,1,1,0,0,JUD,JUD,0,0,0,1,REG,1,C,0,1,1,0,A,ESC,C,0,0,-160128274.92000002,0.6247718679914793,-595458.3900000006,-0.059782077504172304,-6420384656.4,0.0014565147111544909
94,95,S,RS,Canoas,2006-05-11,Autarquia,348208,555648134.43,SIM,NÍVEL I,GRANDE PORTE,menos favorável,1,0,1,1,REG,REG,REG,REG,B,1,1,1,0,REG,REG,1,1,0,1,REG,1,B,1,1,0,0,A,EL,C,1,1,-86098053.0,0.5924362516970646,104013795.1899999,0.23030532922946478,-1550605038.2467122,0.2638088059109531
95,96,SE,ES,Cariacica,1994-08-29,Autarquia,383917,285736801.79,SIM,NÍVEL III,MÉDIO PORTE,menos favorável,1,1,1,1,REG,REG,REG,REG,B,1,1,,0,REG,REG,1,1,1,1,REG,1,A,1,1,1,1,B,ESC,C,1,1,-28617466.38,0.4613301668408247,52762074.40000001,0.22647123570479066,-640597257.96,0.3084597816333289
96,97,SE,MG,Carmo do Cajuru,2002-07-04,Autarquia,22693,27747587.02,SIM,NÃO,PEQUENO PORTE,menos favorável,1,1,0,0,REG,REG,IRG,REG,B,1,1,1,0,REG,REG,0,0,1,1,REG,1,A,0,1,1,1,A,EL,B,1,0,1026042.9700000007,1.2520560915498762,4225042.719999999,0.17961673984391213,-52739641.21000001,0.34474521772210365
97,98,CO,GO,Chapadão do Céu,2005-07-01,Autarquia,10486,48461330.24,NÃO,,PEQUENO PORTE,mais favorável,1,1,0,0,REG,REG,REG,REG,B,1,1,1,1,REG,REG,1,0,0,1,REG,1,B,0,1,1,1,B,ESC,B,1,0,8785076.26,5.639837134204568,8783533.75,0.2213715106939902,-37815559.17000001,0.5616953806679896
98,99,S,PR,Colombo,2002-09-09,Autarquia,246540,435373939.97,SIM,NÍVEL I,MÉDIO PORTE,menos favorável,1,0,1,1,REG,REG,REG,REG,B,1,1,0,0,REG,REG,0,1,1,1,REG,1,B,1,1,1,0,A,ESC,B,1,1,51260229.11,2.1223869474236854,40277697.88,0.10194401664500008,-78270383.69534248,0.8476175437181733
99,100,CO,MT,Comodoro,2006-03-07,Autarquia,21008,44053599.6,SIM,NÃO,MÉDIO PORTE,mais favorável,1,1,0,1,REG,REG,IRG,REG,B,1,1,0,0,REG,REG,0,0,1,1,REG,1,C,0,1,1,0,A,ESC,C,1,0,-2721298.06,0.5067779788225287,11925922.6,0.3712040120423272,-39679658.49,0.5261183023912596
100,101,SE,MG,Conceição do Pará,2002-11-13,Autarquia,5533,8897218.35,NÃO,,PEQUENO PORTE,menos favorável,1,1,0,0,REG,REG,IRG,IRG,C,1,1,0,0,IRG,IRG,0,0,1,1,REG,1,B,0,1,1,1,A,EL,C,0,0,,,964615.0399999991,0.1216013208153226,-30768701.052328765,0.22430384783864732
101,102,SE,MG,Córrego Danta,2002-03-28,Autarquia,3191,6075891.29,NÃO,,PEQUENO PORTE,menos favorável,1,1,0,0,REG,REG,REG,REG,B,1,1,1,0,REG,REG,0,0,1,1,REG,1,B,0,1,1,1,C,ESC,C,1,0,-119291.81000000006,0.9490926518455373,481153.1399999997,0.08600101150399686,-30094750.175205484,0.16797853297251397
102,103,NE,CE,Crato,2010-08-18,Órgão Adm. Direta,133031,84758426.57000001,NÃO,,MÉDIO PORTE,mais favorável,1,1,1,1,REG,REG,REG,REG,B,1,1,1,0,REG,REG,1,1,0,1,REG,1,B,0,1,1,0,C,EL,B,1,1,12172728.729999999,1.7680998768550644,3217758.950000003,0.03946201378918768,-297585108.33,0.2216813384648132
103,104,CO,GO,Cristalina,2007-06-15,Autarquia,60210,19949229.3,NÃO,,MÉDIO PORTE,mais favorável,1,1,0,0,REG,REG,IRG,REG,B,1,1,1,0,IRG,REG,0,0,0,1,REG,0,C,0,1,1,1,A,ESC,C,1,0,-2214835.8000000007,0.8443715884746376,-2205872.18,-0.09956497748346127,-346873737.86,0.05438380659327307
104,105,CO,MT,Cuiabá,2004-06-09,Órgão Adm. Direta,618124,305411903.13,SIM,NÍVEL II,GRANDE PORTE,menos favorável,1,1,1,1,REG,REG,IRG,REG,B,1,1,0,1,REG,REG,0,0,1,1,REG,1,B,1,0,1,0,A,ESC,C,1,1,-71596348.15,0.7231273019562245,62102339.16,0.25524002487488406,-3844190450.442465,0.07360028193233156
105,106,S,PR,Curitiba,1959-05-08,Autarquia,1948626,1818543365.9,SIM,NÍVEL II,GRANDE PORTE,menos favorável,1,0,1,1,REG,REG,JUD,REG,B,1,1,0,1,JUD,REG,1,0,1,1,REG,1,A,1,1,1,0,C,ESC,C,1,1,-193025757.95000005,0.8448715558481865,126812585.3699999,0.07496026367166486,-13575760113.220001,0.1181309286494562
106,107,SE,SP,Diadema,1995-01-15,Autarquia,426757,363979782.93,SIM,NÍVEL I,GRANDE PORTE,menos favorável,1,0,1,1,REG,REG,IRG,REG,B,1,1,1,1,REG,IRG,1,1,1,1,REG,1,A,1,1,1,0,B,ESC,C,1,1,-61526686.04000001,0.6287199352724193,-14659401.14999998,-0.038716017164517,-2482227377.46,0.12788239310034125
107,108,SE,MG,Divinópolis,2000-08-30,Autarquia,240408,435188246.8400001,SIM,NÍVEL II,MÉDIO PORTE,menos favorável,1,1,1,1,REG,REG,REG,REG,B,1,1,1,0,REG,REG,1,1,1,1,REG,1,B,1,1,1,0,B,ESC,C,1,1,-27893961.57,0.6625032837417653,49823861.68000001,0.1292902603319548,-1153744526.0143828,0.27388713624316613
108,109,CO,MS,Dourados,2006-12-27,Autarquia,225495,422266279.94,SIM,NÃO,GRANDE PORTE,mais favorável,1,1,1,0,REG,REG,JUD,REG,B,1,1,1,0,REG,REG,0,0,1,1,REG,1,A,0,1,1,0,A,ESC,C,1,0,-2220563.1099999994,0.9672080676143854,70603579.19999999,0.20077073585407157,-1014286855.95,0.2939440730665279
109,110,CO,GO,Edéia,2014-05-29,Autarquia,12467,4875182.73,NÃO,,PEQUENO PORTE,mais favorável,1,1,0,0,REG,REG,REG,REG,C,1,0,1,0,REG,REG,0,0,0,1,REG,0,B,0,1,1,1,A,ESC,C,1,0,509976.26000000024,1.1429645073920744,520806.8399999999,0.1196053930934291,-69128931.7,0.06587718490451504
110,111,N,AM,Envira,2010-02-12,,20393,14490924.38,NÃO,,PEQUENO PORTE,mais favorável,1,1,0,0,REG,REG,JUD,IRG,A,1,1,0,0,IRG,IRG,1,0,1,1,REG,1,C,0,0,1,1,,ESC,C,0,0,1331517.62,1.666484938675838,1379739.75,0.10523379762672147,,
111,112,S,RS,Erechim,2015-08-17,Autarquia,106633,102752151.42,SIM,NÍVEL I,MÉDIO PORTE,mais favorável,1,1,1,1,REG,REG,REG,REG,B,1,1,1,0,REG,REG,1,1,0,1,REG,1,A,1,1,1,0,B,ESC,B,1,1,30751283.050000004,4.294977031030579,30271148.94,0.4176425256859939,-174724715.60999995,0.37030889284507723
112,113,NE,CE,Eusébio,1993-08-31,Autarquia,54337,150789641.3,SIM,NÃO,MÉDIO PORTE,mais favorável,1,1,0,0,REG,REG,REG,REG,B,1,1,1,0,REG,REG,1,0,0,1,REG,1,B,0,1,1,0,A,ESC,C,1,0,-3857765.2799999993,0.5895745359511527,21651335.24000001,0.16766005301277853,-26448181.967808187,0.8507757459430952
113,114,SE,MG,Extrema,2015-10-22,Autarquia,36951,70482813.54,NÃO,,MÉDIO PORTE,mais favorável,1,1,0,0,REG,REG,JUD,REG,B,1,1,1,0,REG,JUD,1,0,1,1,REG,1,B,1,1,1,0,C,ESC,C,1,0,11712848.219999999,2.294673190844447,12312242.78,0.21165758938136991,,
114,115,S,PR,Fazenda Rio Grande,2001-12-21,Autarquia,102004,224455661.48,NÃO,,MÉDIO PORTE,mais favorável,1,1,0,0,REG,REG,REG,REG,B,1,1,1,0,REG,REG,0,0,1,1,REG,1,A,0,1,1,0,C,ESC,C,1,0,,,41758352.08000001,0.22856577481704266,3322750.379999995,1.0150260328210368
115,116,SE,MG,Formiga,2002-03-28,Autarquia,67822,114421674.32,SIM,NÃO,MÉDIO PORTE,mais favorável,1,1,0,0,REG,REG,REG,REG,B,1,1,1,0,REG,REG,1,0,1,1,REG,1,B,0,1,1,0,B,ESC,B,1,0,1978871.5299999993,1.1439507557755095,12053929.76000001,0.11775124881192345,,
116,117,S,PR,Foz do Iguaçu,2006-04-19,Autarquia,258248,381147930.82,SIM,NÍVEL I,GRANDE PORTE,menos favorável,1,1,1,1,REG,REG,REG,REG,B,1,1,0,0,REG,REG,0,1,1,1,REG,1,A,1,1,1,0,B,ESC,C,0,1,50877128.09,1.7187216157406426,29932869.26999998,0.08522661054995395,-5699496120.24,0.06268216452393015
117,118,CO,GO,Goiânia,2002-04-26,Autarquia,1536097,864238157.37,SIM,NÃO,GRANDE PORTE,menos favorável,1,1,0,0,REG,IRG,JUD,REG,B,1,1,1,0,IRG,IRG,0,0,0,1,REG,0,B,0,1,1,1,B,ESC,C,1,0,-138347511.12000006,0.7844394119785473,29063881.41999995,0.034799780425397,,
118,119,SE,MG,Governador Valadares,2008-06-11,Autarquia,281046,,NÃO,,GRANDE PORTE,menos favorável,1,1,0,1,REG,REG,IRG,REG,B,1,1,0,0,IRG,IRG,0,0,1,1,REG,1,C,0,1,1,0,A,ESC,C,0,0,-71805824.5,0.4219411814049329,,,,
119,120,CO,DF,Governo do Distrito Federal,1992-05-05,Autarquia,,3768034939.839999,SIM,NÃO,ESTADO/DF,ESTADO/DF,1,1,1,1,REG,REG,JUD,REG,B,1,1,0,1,JUD,REG,0,1,1,1,REG,1,A,1,1,1,0,B,EL,B,1,0,-230138446.08999968,0.948861610631535,274312344.6699996,0.07851577713961322,-347090844269.31,0.010739460116652316
120,121,NE,BA,Governo do Estado da Bahia,1895-08-21,Órgão Adm. Direta,,93747836.88000001,NÃO,,ESTADO/DF,ESTADO/DF,1,1,0,0,REG,REG,JUD,REG,A,1,1,1,1,JUD,REG,1,0,1,1,REG,1,A,0,1,1,1,C,ESC,C,1,0,-2986135221.02,0.5369490479653739,87338918.05000001,13.627714809113913,-257061587931.75,0.00036455722997071164
121,122,NE,PB,Governo do Estado da Paraíba,2003-12-30,Autarquia,,479277802.66,SIM,NÃO,ESTADO/DF,ESTADO/DF,1,1,0,0,REG,REG,JUD,REG,B,1,1,0,1,JUD,REG,1,0,1,1,REG,1,A,0,1,1,0,A,ESC,C,1,0,-1442888386.7999997,0.34517531615109126,144721339.21,0.4325767247704926,-37784620580.09998,0.012525587379145386
122,123,NE,AL,Governo do Estado de Alagoas,2002-03-28,Autarquia,,514458228.02,SIM,NIVEL II,ESTADO/DF,ESTADO/DF,1,0,1,1,,REG,JUD,REG,B,0,1,0,0,REG,REG,1,1,1,1,REG,1,B,1,1,1,0,A,ESC,B,0,1,-736228598.1899999,0.4708530852956237,140120065.9,0.37431413646541944,-5415150516.901506,0.08676090618299473
123,124,CO,GO,Governo do Estado de Goiás,2000-04-12,Autarquia,,414847161.07,NÃO,,ESTADO/DF,ESTADO/DF,1,1,0,0,REG,REG,JUD,REG,B,1,1,0,0,REG,REG,1,0,0,1,REG,1,B,0,1,1,0,B,ESC,C,0,0,-2429500958.44,0.5049240145158514,377246474.38,10.032967681952721,-67251158573.85467,0.0061308061051383094
124,125,SE,MG,Governo do Estado de Minas Gerais,1912-09-06,Autarquia,,6435000.01,NÃO,,ESTADO/DF,ESTADO/DF,1,1,1,0,REG,REG,JUD,REG,B,1,1,0,0,JUD,REG,0,0,1,1,REG,1,B,0,1,1,1,B,ESC,C,1,0,-12553544333.61,0.24277374901226148,-2151664668.8,-0.9970182100006769,,
125,126,NE,PE,Governo do Estado de Pernambuco,1938-06-04,Fund. Dir. Púbico,,333416626.39,SIM,NÍVEL II,ESTADO/DF,ESTADO/DF,1,0,1,1,REG,REG,JUD,REG,B,1,1,0,0,JUD,REG,0,1,1,1,REG,1,A,1,1,1,0,B,ESC,C,1,1,-2017776073.0499997,0.5595175335404725,-8571162.75,-0.025062774233998164,-64915239516.66999,0.005109938596420625
126,127,N,RO,Governo do Estado de Rondônia,2008-03-03,Autarquia,,2309059422.74,SIM,NÍVEL I,ESTADO/DF,ESTADO/DF,1,0,1,1,REG,REG,REG,REG,B,1,1,0,0,REG,REG,0,0,1,1,REG,1,C,1,1,1,0,C,ESC,B,1,1,248984384.60000002,1.4025404461043611,249473106.7599998,0.12112777445857836,-16631502514.0174,0.12191081924865571
127,128,N,RR,Governo do Estado de Roraima,1996-12-30,Autarquia,,3365482024.06,SIM,,ESTADO/DF,ESTADO/DF,1,1,0,0,REG,REG,JUD,REG,A,0,1,0,0,JUD,JUD,0,0,1,1,REG,1,C,0,1,1,1,A,ESC,C,1,0,630624480.7799999,10.932463833170212,623691267.1100001,0.2274758806918591,-417705643.46219206,0.8895889709495248
128,129,S,SC,Governo do Estado de Santa Catarina,2008-06-26,Autarquia,,566299010.38,NÃO,,ESTADO/DF,ESTADO/DF,1,1,1,1,REG,REG,JUD,REG,A,1,1,1,0,JUD,REG,1,1,1,1,REG,1,A,1,1,1,0,C,EL,C,1,0,-3129537814.6699996,0.41576492051141994,101913522.02,0.2194588861506257,-146215440268.38,0.0038581026029710364
129,130,SE,SP,Governo do Estado de São Paulo,1939-06-10,,,44735097.76000001,SIM,NÃO,ESTADO/DF,ESTADO/DF,1,1,0,0,REG,REG,JUD,REG,A,1,1,0,0,JUD,REG,0,0,1,1,REG,1,C,0,1,1,0,,ESC,C,1,0,-17014917961.470001,0.3799573883779255,3841512.600000001,0.0939392470718754,,
130,131,NE,SE,Governo do Estado de Sergipe,1949-06-06,Autarquia,,112545587.86,SIM,NÍVEL I,ESTADO/DF,ESTADO/DF,1,0,0,0,REG,REG,JUD,REG,A,1,1,1,0,IRG,REG,1,0,1,1,REG,1,C,0,1,1,0,B,ESC,C,1,1,-1098198557.92,0.43005811205078665,5888566.899999991,0.05521030727277121,-29594205225.89,0.0037885525941769235
131,132,N,AC,Governo do Estado do Acre,2005-12-08,Autarquia,,10137389.4,NÃO,,ESTADO/DF,ESTADO/DF,1,1,0,0,REG,REG,JUD,REG,C,1,1,0,1,JUD,REG,0,0,1,1,REG,1,B,0,1,1,0,B,ESC,C,0,0,-381159267.67,0.5277811148315765,8842642.65,6.829631084225545,-12497494887.78,0.0008104962774205894
132,133,N,AP,Governo do Estado do Amapá,1999-07-07,Outros,,4756271801.01,SIM,NÍVEL II,ESTADO/DF,ESTADO/DF,1,1,1,0,REG,REG,JUD,REG,B,1,1,0,1,JUD,JUD,0,1,1,1,REG,1,C,0,1,1,0,B,ESC,C,1,1,875482695.86,4.96055627031121,824575279.5000005,0.20972505761541216,,
133,134,N,AM,Governo do Estado do Amazonas,1965-05-03,Fund. Dir. Púbico,,5911148873.210001,SIM,NÍVEL II,ESTADO/DF,ESTADO/DF,1,1,1,1,REG,REG,REG,REG,B,1,1,0,0,REG,REG,1,0,1,1,REG,1,A,0,1,1,0,B,ESC,C,0,0,-675419678.6600001,0.6359560012465215,1220762394.56,0.2602690418192073,-76832549045.3,0.07143926391870455
134,135,NE,CE,Governo do Estado do Ceará,1938-11-10,Órgão Adm. Direta,,1016295538.1,SIM,NÃO,ESTADO/DF,ESTADO/DF,1,1,0,0,REG,REG,JUD,REG,B,1,1,0,0,REG,REG,1,0,0,1,REG,1,A,0,1,1,0,B,ESC,C,1,0,-900241366.69,0.68388543792501,369708518.0900001,0.5717846270472335,-51904267282.820015,0.019204171005117288
135,136,SE,ES,Governo do Estado do Espírito Santo,1951-12-31,Autarquia,,4666187080.86,SIM,NÃO,ESTADO/DF,ESTADO/DF,1,1,1,1,REG,REG,REG,REG,B,1,1,,0,REG,REG,1,0,1,1,REG,1,B,1,1,1,1,B,ESC,C,1,1,-1055696681.8499999,0.5405764585698327,845141645.1099997,0.22118073687446582,-18394940887.970818,0.20233993268528624
