,Nº,REGIÃO,UF,ENTE,ANO,N.JUR,POP,TAM.ATV,AD.PROG,C.PROG,PRT_massa,MassaSeg.,GR_POD,GR_SEGR,GR_C.ÉT,CIE_REL,CIE_FISC,CIE_AUD,CIE_CRP,GI_DIV.CART,GI_C.TÉC,GI_P.INV,GI_COMITÊ,GI_CONS,SA_AMRTZ,SA_PUB.REL,SA_REPAS,SA_R.ALIQ,GTI_POL.INFR.,GTI_INV.TI,DDM_CART,DDM_ACES,DDM_ATAS,RP_REG.ENV,RP_REL.GOV,RP_SITE,PS_OUV,PS_GEST,IP_REP.CF,IP_SELEC,LI_CERT.MB,LI_DIR.CERT,LI_P.EST.,R.FIN,IND.SF,R.INV,VAR.INV,R.AT,IND.COB
15,16,S,RS,Água Santa,2009-12-29,Órgão Adm. Direta,3743,25992592.23,NÃO,,PEQUENO PORTE,mais favorável,1,0,0,0,REG,REG,REG,REG,B,1,1,0,1,REG,REG,0,0,0,1,REG,0,A,0,0,0,0,A,ESC,C,1,0,2213441.89,2.4261275710949217,3103243.399999999,0.13557587081432043,-15580572.720000006,0.6252252447284506
16,17,NE,PE,Águas Belas,2002-03-28,Autarquia,43686,21391.07,NÃO,,MÉDIO PORTE,menos favorável,1,1,0,0,REG,REG,JUD,IRG,C,0,1,0,0,IRG,IRG,1,0,0,1,REG,0,C,0,1,0,0,B,ESC,C,0,0,-3930153.91,0.6844275773352203,-403764.6299999999,-0.9496865030858107,-177950169.38,0.00012019375424878449
17,18,SE,SP,Águas da Prata,1993-04-01,Autarquia,8221,10533939.41,NÃO,,PEQUENO PORTE,menos favorável,1,1,0,0,REG,REG,IRG,REG,B,0,1,1,0,IRG,REG,0,0,0,1,REG,0,C,0,0,0,0,C,EL,C,1,0,-752815.0500000003,0.7224650041652457,178804.0899999999,0.017267190092113527,,
18,19,SE,MG,Águas Formosas,2002-06-21,Autarquia,19247,19761872.51,NÃO,,PEQUENO PORTE,mais favorável,1,0,0,0,REG,REG,REG,REG,B,1,1,0,0,REG,REG,1,0,0,0,REG,0,C,0,0,0,1,B,ESC,C,1,0,2273402.5600000015,2.0825726476190485,1933775.16,0.10846783714696295,-49044681.42999999,0.2872091592791081
19,20,CO,GO,Águas Lindas de Goiás,2005-12-30,Autarquia,217698,132617218.94,NÃO,,MÉDIO PORTE,mais favorável,1,0,0,0,REG,REG,REG,REG,B,1,1,1,0,REG,REG,1,0,0,1,REG,0,B,0,1,1,1,C,ESC,B,1,0,21503333.39,4.1556619343164884,22382685.39999999,0.20304603903347718,-122248890.47999999,0.5203407359330655
20,21,S,RS,Agudo,2001-12-18,Órgão Adm. Direta,16401,62107498.47,NÃO,,MÉDIO PORTE,menos favorável,1,0,0,0,REG,REG,JUD,REG,B,1,1,0,0,JUD,REG,1,0,0,1,REG,1,A,0,1,0,0,C,ESC,B,1,0,3411805.58,1.3406967903622802,5928996.810000002,0.10553853582431039,-113011632.05000001,0.3546585589225891
21,22,SE,ES,Águia Branca,1990-02-07,Autarquia,9631,34266184.94000001,NÃO,,PEQUENO PORTE,mais favorável,1,0,0,0,REG,REG,REG,REG,B,1,1,,0,REG,REG,1,0,0,0,REG,0,A,0,0,1,1,A,ESC,C,1,0,6212511.17,4.282580149116106,5435921.650000002,0.18854915042990594,-22739237.798904113,0.6011039528106962
22,23,NE,CE,Aiuaba,2017-10-05,Órgão Adm. Direta,17493,3786649.1,NÃO,,PEQUENO PORTE,mais favorável,1,1,0,0,REG,REG,REG,REG,C,1,0,0,0,REG,REG,1,0,0,0,REG,0,C,0,1,0,0,B,ESC,C,1,0,972548.12,0.0,2368942.64,1.6709683611091122,-11536988.219999999,0.24711163680817272
23,24,NE,MA,Aldeias Altas,2001-11-13,Órgão Adm. Direta,26757,,NÃO,,MÉDIO PORTE,mais favorável,1,0,0,0,JUD,REG,JUD,JUD,C,1,0,0,0,JUD,JUD,0,0,0,1,REG,0,C,0,1,0,0,C,ESC,C,0,0,5105151.649999999,2.3829808689825818,,,,
24,25,S,RS,Alegrete,2003-07-15,Fund. Dir. Púbico,73028,178927662.45,SIM,NÃO,MÉDIO PORTE,menos favorável,1,0,0,0,REG,REG,JUD,REG,B,1,1,1,1,REG,REG,1,0,0,1,REG,0,A,0,1,1,0,C,ESC,B,1,0,-655640.9900000021,0.9831083890182394,19361885.33000001,0.12134109004739235,-542874117.6,0.2478903036753463
25,26,SE,MG,Além Paraíba,2005-02-01,Órgão Adm. Direta,35401,50695223.29000001,NÃO,,MÉDIO PORTE,menos favorável,1,0,0,0,REG,REG,REG,REG,B,1,1,1,0,REG,REG,0,0,0,0,REG,0,B,0,0,0,1,C,EL,B,1,0,4944359.529999999,1.6957736669531485,7679806.550000004,0.17853614197020118,-79012861.51232877,0.3908408898894622
26,27,NE,PB,Alhandra,2008-12-02,Autarquia,19727,6949215.54,NÃO,,MÉDIO PORTE,mais favorável,1,0,0,0,REG,REG,IRG,REG,B,1,1,0,1,REG,REG,1,0,0,1,REG,0,A,0,1,1,0,A,ESC,B,1,0,562065.1400000006,1.0944181620568665,610606.8399999999,0.09633136685026789,-120261107.39,0.05462776431928361
27,28,NE,PE,Aliança,2009-05-20,Órgão Adm. Direta,38397,17269.16,NÃO,,MÉDIO PORTE,menos favorável,1,0,0,0,JUD,JUD,JUD,REG,C,1,0,1,1,JUD,JUD,1,0,0,1,REG,1,A,0,1,1,0,B,ESC,C,1,0,-15990910.89,0.2036174322168131,9027.17,1.0952658277915885,-311862347.71,5.537123641907722e-05
28,29,S,PR,Almirante Tamandaré,2002-05-09,Autarquia,120041,178494180.71,SIM,NÃO,MÉDIO PORTE,menos favorável,1,1,1,0,REG,REG,REG,REG,B,1,1,0,0,REG,REG,1,1,0,1,REG,1,A,1,1,1,0,A,ESC,B,1,1,26092736.44,2.648423672702297,25091611.88,0.16356709063853048,-166191204.22999996,0.5178466755736418
29,30,SE,MG,Alpercata,2002-12-30,Autarquia,7436,,NÃO,,PEQUENO PORTE,mais favorável,1,0,0,0,REG,REG,IRG,IRG,C,1,0,0,0,IRG,IRG,0,0,0,1,REG,0,C,0,1,1,0,B,ESC,C,0,0,-225404.55000000005,0.7927607971582801,,,,
30,31,CO,MT,Alta Floresta,2005-11-09,Autarquia,51959,153444172.87,SIM,NÃO,MÉDIO PORTE,mais favorável,1,1,0,0,REG,REG,REG,REG,B,1,1,1,0,IRG,REG,1,0,0,1,REG,1,A,0,1,1,0,B,ESC,C,1,0,13610093.38,2.7250473476935757,25960107.34,0.20363413444710865,-100609580.11999997,0.6039830983171497
31,32,N,PA,Altamira,2000-12-12,,115969,55125034.79000001,NÃO,,MÉDIO PORTE,mais favorável,1,0,0,0,REG,REG,JUD,REG,B,0,1,0,0,IRG,REG,0,0,0,1,REG,0,C,0,1,0,0,,ESC,B,0,0,7645742.240000001,5.159099163800862,-1682604.75,-0.029619339293533442,,
32,33,NE,PE,Altinho,2005-02-15,Autarquia,22984,2169372.65,NÃO,,MÉDIO PORTE,menos favorável,1,1,0,0,IRG,REG,JUD,REG,C,1,0,1,0,REG,IRG,0,0,0,1,REG,1,B,0,1,1,0,C,ESC,C,1,0,-4736145.020000001,0.4211276510970376,910256.8499999999,0.7229333870641605,-121690814.22726029,0.0175146889787091
33,34,SE,SP,Altinópolis,1993-11-25,Autarquia,16203,68378784.39,NÃO,,MÉDIO PORTE,mais favorável,1,1,0,0,REG,REG,JUD,REG,B,1,1,1,1,REG,JUD,1,0,0,1,REG,1,A,0,1,1,0,B,ESC,C,0,0,2586510.53,1.7128574896165762,7855740.36,0.12979750912902022,-18346236.089999974,0.7884550964824405
34,35,S,PR,Altônia,2007-02-16,Órgão Adm. Direta,22176,3427326.46,NÃO,,MÉDIO PORTE,menos favorável,1,0,0,0,JUD,REG,JUD,REG,B,1,1,1,1,JUD,JUD,0,0,0,1,REG,0,C,0,1,1,0,B,,B,1,0,,0.0,443325.9099999997,0.14856763682566965,-178053721.32999998,0.01888531337975255
35,36,SE,MG,Alvinópolis,1994-07-27,Autarquia,15169,27555478.39,SIM,NÃO,PEQUENO PORTE,menos favorável,1,1,0,0,REG,REG,REG,REG,B,1,1,1,1,REG,,1,0,0,1,REG,0,B,0,1,0,0,A,EL,B,1,0,3512221.9600000004,2.0359719468031114,4197220.849999998,0.17968895337387414,-22330430.031917807,0.5523699830610534
36,37,S,RS,Alvorada,2001-09-25,Órgão Adm. Direta,8396,361084408.17,NÃO,,MÉDIO PORTE,mais favorável,1,1,0,1,REG,REG,IRG,REG,B,1,1,1,1,REG,REG,1,0,0,1,REG,1,A,0,0,1,0,C,EL,A,1,0,68049096.09,3.5453457913524775,62257326.54000003,0.2083389704855645,-301312864.25,0.545117595141682
37,38,N,RO,Alvorada d'Oeste,2010-10-11,Autarquia,14106,,NÃO,,MÉDIO PORTE,mais favorável,1,1,1,1,REG,REG,JUD,REG,C,0,0,0,0,JUD,REG,1,1,1,1,REG,0,C,0,0,0,0,A,ESC,,0,0,6926440.01,4.768647702657025,,,,
38,39,CO,MS,Amambaí,1984-06-04,Órgão Adm. Direta,39826,42614373.01000001,NÃO,,MÉDIO PORTE,mais favorável,1,1,0,0,REG,REG,REG,REG,B,1,1,1,0,REG,REG,1,0,0,1,REG,1,B,0,1,1,0,A,ESC,C,1,0,5125220.77,1.5567962769517836,6496549.18,0.1798710024883574,-182720972.28,0.1891153514117217
39,40,S,PR,Amaporã,2006-09-19,Autarquia,6332,16926647.4,NÃO,,PEQUENO PORTE,mais favorável,1,0,0,0,REG,REG,REG,REG,C,1,1,0,0,REG,REG,0,0,0,0,REG,0,B,0,1,1,0,A,,C,0,0,2161574.59,1.7876855253343356,2670844.540000001,0.18735139411152035,-32465804.090000004,0.3426970496377765
40,41,NE,PE,Amaraji,2003-02-20,Autarquia,22870,,NÃO,,MÉDIO PORTE,mais favorável,1,0,0,0,REG,REG,JUD,REG,C,0,0,0,1,JUD,REG,0,0,0,0,REG,0,B,0,1,0,0,B,ESC,,0,0,-14940168.43,0.24765867283223747,,,,
41,42,SE,SP,Americana,2010-11-23,Autarquia,242018,93173178.24000001,NÃO,,MÉDIO PORTE,mais favorável,1,1,0,0,REG,REG,IRG,REG,B,1,1,1,0,REG,,1,0,0,1,REG,0,A,0,1,1,0,A,ESC,C,1,0,-2618982.280000001,0.8664359736322571,21499684.81,0.2999670279919826,-231107244.25,0.2873228594084283
42,43,NE,CE,Amontada,1994-11-30,Autarquia,43829,,NÃO,,MÉDIO PORTE,mais favorável,1,1,0,0,REG,REG,JUD,IRG,C,1,0,0,0,IRG,IRG,1,0,0,1,REG,0,C,0,1,0,0,B,ESC,C,0,0,289323.0800000001,1.0277868759277997,,,,
43,44,S,PR,Ampére,2017-08-18,Autarquia,19311,10880773.75,NÃO,,PEQUENO PORTE,mais favorável,1,1,0,0,REG,REG,REG,REG,B,1,1,1,0,REG,REG,0,0,0,1,REG,0,A,0,1,1,0,A,EL,C,1,0,11566304.68,10.819133273352682,5658917.13,1.0836982977138883,-7731233.5600000005,0.5846104382386469
